event_id,user_id,session_id,timestamp,event_type,source
evt_00000000,user_00000,sess_user_00000_20251001000000,2025-10-01 00:00:00,cart_updated,organic
evt_00000001,user_00000,sess_user_00000_20251015000000,2025-10-15 00:00:00,product_clicked,organic
evt_00000002,user_00000,sess_user_00000_20251021000000,2025-10-21 00:00:00,order_completed,organic
evt_00000003,user_00000,sess_user_00000_20251029000000,2025-10-29 00:00:00,app_opened,organic
evt_00000004,user_00000,sess_user_00000_20251029000000,2025-10-29 00:00:00,push_received,organic
evt_00000005,user_00000,sess_user_00000_20251030000000,2025-10-30 00:00:00,app_opened,email
evt_00000006,user_00000,sess_user_00000_20251101000000,2025-11-01 00:00:00,app_opened,organic
evt_00000007,user_00000,sess_user_00000_20251103000000,2025-11-03 00:00:00,category_viewed,email
evt_00000008,user_00000,sess_user_00000_20251122000000,2025-11-22 00:00:00,order_completed,organic
evt_00000009,user_00000,sess_user_00000_20251122000000,2025-11-22 00:00:00,app_opened,organic
evt_00000010,user_00000,sess_user_00000_20251123000000,2025-11-23 00:00:00,product_clicked,push
evt_00000011,user_00000,sess_user_00000_20251124000000,2025-11-24 00:00:00,order_started,push
evt_00000012,user_00000,sess_user_00000_20251126000000,2025-11-26 00:00:00,search_query,organic
evt_00000013,user_00000,sess_user_00000_20251206000000,2025-12-06 00:00:00,order_started,organic
evt_00000014,user_00000,sess_user_00000_20251208000000,2025-12-08 00:00:00,cart_updated,organic
evt_00000015,user_00000,sess_user_00000_20251218000000,2025-12-18 00:00:00,product_clicked,organic
evt_00000016,user_00000,sess_user_00000_20251220000000,2025-12-20 00:00:00,app_opened,organic
evt_00000017,user_00000,sess_user_00000_20251225000000,2025-12-25 00:00:00,app_opened,organic
evt_00000018,user_00000,sess_user_00000_20251226000000,2025-12-26 00:00:00,push_received,organic
evt_00000019,user_00000,sess_user_00000_20260103000000,2026-01-03 00:00:00,category_viewed,organic
evt_00000020,user_00000,sess_user_00000_20260111000000,2026-01-11 00:00:00,category_viewed,organic
evt_00000021,user_00000,sess_user_00000_20260125000000,2026-01-25 00:00:00,app_opened,organic
evt_00000022,user_00000,sess_user_00000_20260209000000,2026-02-09 00:00:00,app_opened,organic
evt_00000023,user_00000,sess_user_00000_20260216000000,2026-02-16 00:00:00,search_query,organic
evt_00000024,user_00000,sess_user_00000_20260217000000,2026-02-17 00:00:00,app_opened,organic
evt_00000025,user_00000,sess_user_00000_20260219000000,2026-02-19 00:00:00,order_completed,organic
evt_00000026,user_00000,sess_user_00000_20260223000000,2026-02-23 00:00:00,push_received,organic
evt_00000027,user_00000,sess_user_00000_20260223000000,2026-02-23 00:00:00,product_clicked,push
evt_00000028,user_00000,sess_user_00000_20260224000000,2026-02-24 00:00:00,push_received,organic
evt_00000029,user_00000,sess_user_00000_20260312000000,2026-03-12 00:00:00,order_completed,organic
evt_00000030,user_00000,sess_user_00000_20260315000000,2026-03-15 00:00:00,order_cancelled,organic
evt_00000031,user_00000,sess_user_00000_20260315000000,2026-03-15 00:00:00,category_viewed,organic
evt_00000032,user_00000,sess_user_00000_20260327000000,2026-03-27 00:00:00,category_viewed,email
evt_00000033,user_00000,sess_user_00000_20260329000000,2026-03-29 00:00:00,product_clicked,organic
evt_00000034,user_00000,sess_user_00000_20260330000000,2026-03-30 00:00:00,category_viewed,organic
evt_00000035,user_00001,sess_user_00001_20251012000000,2025-10-12 00:00:00,cart_updated,organic
evt_00000036,user_00001,sess_user_00001_20251012000000,2025-10-12 00:00:00,product_clicked,organic
evt_00000037,user_00001,sess_user_00001_20251026000000,2025-10-26 00:00:00,push_clicked,organic
evt_00000038,user_00001,sess_user_00001_20251028000000,2025-10-28 00:00:00,cart_updated,organic
evt_00000039,user_00001,sess_user_00001_20251029000000,2025-10-29 00:00:00,app_opened,organic
evt_00000040,user_00001,sess_user_00001_20251120000000,2025-11-20 00:00:00,order_started,organic
evt_00000041,user_00001,sess_user_00001_20251125000000,2025-11-25 00:00:00,product_clicked,email
evt_00000042,user_00001,sess_user_00001_20251129000000,2025-11-29 00:00:00,app_opened,organic
evt_00000043,user_00001,sess_user_00001_20251201000000,2025-12-01 00:00:00,app_opened,organic
evt_00000044,user_00001,sess_user_00001_20251203000000,2025-12-03 00:00:00,order_started,organic
evt_00000045,user_00001,sess_user_00001_20251210000000,2025-12-10 00:00:00,app_opened,organic
evt_00000046,user_00001,sess_user_00001_20251211000000,2025-12-11 00:00:00,order_completed,organic
evt_00000047,user_00001,sess_user_00001_20251215000000,2025-12-15 00:00:00,order_completed,organic
evt_00000048,user_00001,sess_user_00001_20251220000000,2025-12-20 00:00:00,category_viewed,organic
evt_00000049,user_00001,sess_user_00001_20251223000000,2025-12-23 00:00:00,product_clicked,organic
evt_00000050,user_00001,sess_user_00001_20260101000000,2026-01-01 00:00:00,category_viewed,organic
evt_00000051,user_00001,sess_user_00001_20260103000000,2026-01-03 00:00:00,cart_updated,organic
evt_00000052,user_00001,sess_user_00001_20260103000000,2026-01-03 00:00:00,category_viewed,organic
evt_00000053,user_00001,sess_user_00001_20260109000000,2026-01-09 00:00:00,order_started,organic
evt_00000054,user_00001,sess_user_00001_20260114000000,2026-01-14 00:00:00,category_viewed,organic
evt_00000055,user_00001,sess_user_00001_20260118000000,2026-01-18 00:00:00,push_received,organic
evt_00000056,user_00001,sess_user_00001_20260118000000,2026-01-18 00:00:00,app_opened,organic
evt_00000057,user_00001,sess_user_00001_20260120000000,2026-01-20 00:00:00,app_opened,organic
evt_00000058,user_00001,sess_user_00001_20260201000000,2026-02-01 00:00:00,product_clicked,email
evt_00000059,user_00001,sess_user_00001_20260205000000,2026-02-05 00:00:00,app_opened,push
evt_00000060,user_00001,sess_user_00001_20260221000000,2026-02-21 00:00:00,product_clicked,organic
evt_00000061,user_00001,sess_user_00001_20260223000000,2026-02-23 00:00:00,product_clicked,organic
evt_00000062,user_00001,sess_user_00001_20260308000000,2026-03-08 00:00:00,category_viewed,email
evt_00000063,user_00001,sess_user_00001_20260317000000,2026-03-17 00:00:00,cart_updated,organic
evt_00000064,user_00001,sess_user_00001_20260320000000,2026-03-20 00:00:00,category_viewed,organic
evt_00000065,user_00001,sess_user_00001_20260327000000,2026-03-27 00:00:00,category_viewed,organic
evt_00000066,user_00001,sess_user_00001_20260331000000,2026-03-31 00:00:00,product_clicked,push
evt_00000067,user_00001,sess_user_00001_20260401000000,2026-04-01 00:00:00,push_clicked,organic
evt_00000068,user_00001,sess_user_00001_20260401000000,2026-04-01 00:00:00,category_viewed,organic
evt_00000069,user_00001,sess_user_00001_20260405000000,2026-04-05 00:00:00,product_clicked,push
evt_00000070,user_00001,sess_user_00001_20260407000000,2026-04-07 00:00:00,order_cancelled,organic
evt_00000071,user_00001,sess_user_00001_20260407000000,2026-04-07 00:00:00,order_cancelled,organic
evt_00000072,user_00001,sess_user_00001_20260414000000,2026-04-14 00:00:00,search_query,organic
evt_00000073,user_00001,sess_user_00001_20260416000000,2026-04-16 00:00:00,product_clicked,organic
evt_00000074,user_00002,sess_user_00002_20251002000000,2025-10-02 00:00:00,category_viewed,push
evt_00000075,user_00002,sess_user_00002_20251014000000,2025-10-14 00:00:00,order_completed,email
evt_00000076,user_00002,sess_user_00002_20251020000000,2025-10-20 00:00:00,cart_updated,organic
evt_00000077,user_00002,sess_user_00002_20251024000000,2025-10-24 00:00:00,product_clicked,email
evt_00000078,user_00002,sess_user_00002_20251102000000,2025-11-02 00:00:00,cart_updated,push
evt_00000079,user_00002,sess_user_00002_20251105000000,2025-11-05 00:00:00,app_opened,email
evt_00000080,user_00002,sess_user_00002_20251106000000,2025-11-06 00:00:00,push_received,organic
evt_00000081,user_00002,sess_user_00002_20251119000000,2025-11-19 00:00:00,app_opened,organic
evt_00000082,user_00002,sess_user_00002_20251124000000,2025-11-24 00:00:00,cart_updated,push
evt_00000083,user_00002,sess_user_00002_20251126000000,2025-11-26 00:00:00,order_started,organic
evt_00000084,user_00002,sess_user_00002_20251209000000,2025-12-09 00:00:00,category_viewed,organic
evt_00000085,user_00002,sess_user_00002_20251212000000,2025-12-12 00:00:00,cart_updated,organic
evt_00000086,user_00002,sess_user_00002_20251218000000,2025-12-18 00:00:00,product_clicked,push
evt_00000087,user_00002,sess_user_00002_20251223000000,2025-12-23 00:00:00,order_started,organic
evt_00000088,user_00002,sess_user_00002_20251223000000,2025-12-23 00:00:00,category_viewed,push
evt_00000089,user_00002,sess_user_00002_20251225000000,2025-12-25 00:00:00,cart_updated,organic
evt_00000090,user_00002,sess_user_00002_20260101000000,2026-01-01 00:00:00,order_cancelled,organic
evt_00000091,user_00002,sess_user_00002_20260108000000,2026-01-08 00:00:00,order_completed,push
evt_00000092,user_00002,sess_user_00002_20260113000000,2026-01-13 00:00:00,cart_updated,organic
evt_00000093,user_00002,sess_user_00002_20260121000000,2026-01-21 00:00:00,search_query,email
evt_00000094,user_00002,sess_user_00002_20260205000000,2026-02-05 00:00:00,push_received,email
evt_00000095,user_00002,sess_user_00002_20260206000000,2026-02-06 00:00:00,product_clicked,organic
evt_00000096,user_00002,sess_user_00002_20260211000000,2026-02-11 00:00:00,app_opened,organic
evt_00000097,user_00002,sess_user_00002_20260211000000,2026-02-11 00:00:00,product_clicked,push
