order_id,user_id,event_id,timestamp,amount_rub,is_first_order,delivery_minutes
ord_000000,user_00000,evt_00000002,2025-10-21 00:00:00,476.35,1,35
ord_000001,user_00000,evt_00000008,2025-11-22 00:00:00,817.89,0,35
ord_000002,user_00000,evt_00000025,2026-02-19 00:00:00,719.95,0,35
ord_000003,user_00000,evt_00000029,2026-03-12 00:00:00,608.35,0,25
ord_000004,user_00001,evt_00000046,2025-12-11 00:00:00,946.56,1,25
ord_000005,user_00001,evt_00000047,2025-12-15 00:00:00,1113.79,0,25
ord_000006,user_00002,evt_00000075,2025-10-14 00:00:00,566.7,1,45
ord_000007,user_00002,evt_00000091,2026-01-08 00:00:00,1060.18,0,35
ord_000008,user_00002,evt_00000105,2026-03-21 00:00:00,1637.84,0,90
ord_000009,user_00003,evt_00000115,2025-10-06 00:00:00,2487.9,1,60
ord_000010,user_00003,evt_00000120,2025-11-03 00:00:00,4182.78,0,25
ord_000011,user_00003,evt_00000127,2025-11-26 00:00:00,2561.91,0,25
ord_000012,user_00003,evt_00000150,2026-04-09 00:00:00,1801.57,0,25
ord_000013,user_00004,evt_00000158,2025-10-30 00:00:00,659.68,1,35
ord_000014,user_00004,evt_00000159,2025-10-30 00:00:00,1214.35,0,45
ord_000015,user_00004,evt_00000176,2026-02-18 00:00:00,1000.76,0,35
ord_000016,user_00005,evt_00000200,2025-12-22 00:00:00,1982.92,1,60
ord_000017,user_00005,evt_00000206,2026-02-17 00:00:00,1172.79,0,35
ord_000018,user_00006,evt_00000225,2025-11-04 00:00:00,1342.28,1,35
ord_000019,user_00006,evt_00000230,2025-12-15 00:00:00,963.01,0,45
ord_000020,user_00006,evt_00000231,2025-12-18 00:00:00,1022.55,0,25
ord_000021,user_00006,evt_00000233,2026-01-04 00:00:00,485.2,0,25
ord_000022,user_00006,evt_00000238,2026-02-23 00:00:00,950.82,0,35
ord_000023,user_00006,evt_00000240,2026-03-02 00:00:00,1124.62,0,35
ord_000024,user_00006,evt_00000241,2026-03-03 00:00:00,467.34,0,35
ord_000025,user_00006,evt_00000246,2026-03-16 00:00:00,760.39,0,35
ord_000026,user_00007,evt_00000270,2026-01-24 00:00:00,1421.71,1,35
ord_000027,user_00007,evt_00000272,2026-01-29 00:00:00,807.66,0,60
ord_000028,user_00007,evt_00000274,2026-01-30 00:00:00,649.69,0,45
ord_000029,user_00007,evt_00000278,2026-02-23 00:00:00,550.04,0,45
ord_000030,user_00007,evt_00000279,2026-03-03 00:00:00,917.74,0,35
ord_000031,user_00008,evt_00000304,2026-01-05 00:00:00,1709.73,1,35
ord_000032,user_00008,evt_00000310,2026-02-04 00:00:00,954.98,0,25
ord_000033,user_00008,evt_00000315,2026-02-16 00:00:00,822.45,0,35
ord_000034,user_00009,evt_00000352,2026-01-01 00:00:00,1022.67,1,35
ord_000035,user_00009,evt_00000354,2026-01-10 00:00:00,1212.67,0,25
ord_000036,user_00009,evt_00000358,2026-01-26 00:00:00,1091.75,0,35
ord_000037,user_00010,evt_00000378,2025-10-27 00:00:00,759.75,1,60
ord_000038,user_00010,evt_00000387,2026-01-22 00:00:00,1033.69,0,90
ord_000039,user_00010,evt_00000404,2026-04-25 00:00:00,445.74,0,35
ord_000040,user_00011,evt_00000414,2025-11-22 00:00:00,704.2,1,25
ord_000041,user_00012,evt_00000438,2025-10-16 00:00:00,689.27,1,25
ord_000042,user_00012,evt_00000459,2026-02-20 00:00:00,1205.46,0,45
ord_000043,user_00012,evt_00000462,2026-02-22 00:00:00,1107.64,0,25
ord_000044,user_00012,evt_00000464,2026-03-05 00:00:00,946.07,0,25
ord_000045,user_00012,evt_00000469,2026-04-25 00:00:00,1071.98,0,25
ord_000046,user_00013,evt_00000472,2025-10-28 00:00:00,782.16,1,25
ord_000047,user_00013,evt_00000490,2026-02-16 00:00:00,1631.35,0,25
ord_000048,user_00013,evt_00000493,2026-03-29 00:00:00,1165.35,0,25
ord_000049,user_00014,evt_00000498,2025-10-02 00:00:00,888.86,1,25
ord_000050,user_00014,evt_00000509,2025-12-22 00:00:00,448.89,0,25
ord_000051,user_00014,evt_00000511,2026-01-17 00:00:00,1074.92,0,25
ord_000052,user_00014,evt_00000514,2026-02-03 00:00:00,569.8,0,60
ord_000053,user_00015,evt_00000534,2025-10-09 00:00:00,1684.93,1,25
ord_000054,user_00015,evt_00000543,2025-12-06 00:00:00,875.44,0,25
ord_000055,user_00015,evt_00000560,2026-04-09 00:00:00,750.24,0,35
ord_000056,user_00018,evt_00000625,2025-10-15 00:00:00,864.06,1,25
ord_000057,user_00018,evt_00000630,2025-10-28 00:00:00,1169.81,0,45
ord_000058,user_00018,evt_00000640,2025-12-28 00:00:00,1321.07,0,25
ord_000059,user_00018,evt_00000642,2026-01-16 00:00:00,716.4,0,35
ord_000060,user_00018,evt_00000651,2026-03-02 00:00:00,497.25,0,25
ord_000061,user_00019,evt_00000683,2026-03-14 00:00:00,1186.24,1,25
ord_000062,user_00019,evt_00000688,2026-04-13 00:00:00,682.81,0,45
ord_000063,user_00019,evt_00000690,2026-04-18 00:00:00,952.77,0,35
ord_000064,user_00020,evt_00000706,2025-12-10 00:00:00,2072.84,1,35
ord_000065,user_00021,evt_00000737,2025-12-02 00:00:00,860.96,1,90
ord_000066,user_00022,evt_00000760,2025-11-02 00:00:00,1181.42,1,45
ord_000067,user_00022,evt_00000780,2026-02-03 00:00:00,973.16,0,45
ord_000068,user_00023,evt_00000806,2025-11-25 00:00:00,1841.98,1,60
ord_000069,user_00023,evt_00000807,2025-11-27 00:00:00,2056.37,0,25
ord_000070,user_00023,evt_00000820,2026-02-25 00:00:00,1382.18,0,35
ord_000071,user_00025,evt_00000889,2026-01-11 00:00:00,1441.43,1,45
ord_000072,user_00025,evt_00000895,2026-01-30 00:00:00,1992.19,0,35
ord_000073,user_00025,evt_00000898,2026-02-25 00:00:00,1839.38,0,25
ord_000074,user_00025,evt_00000904,2026-03-24 00:00:00,1496.33,0,35
ord_000075,user_00025,evt_00000906,2026-04-04 00:00:00,2155.73,0,35
ord_000076,user_00026,evt_00000924,2026-01-31 00:00:00,1060.18,1,35
ord_000077,user_00026,evt_00000925,2026-02-06 00:00:00,815.92,0,25
ord_000078,user_00026,evt_00000928,2026-02-22 00:00:00,1296.12,0,25
ord_000079,user_00027,evt_00000954,2025-12-01 00:00:00,1562.8,1,25
ord_000080,user_00028,evt_00000996,2026-01-19 00:00:00,914.09,1,35
ord_000081,user_00028,evt_00001003,2026-02-22 00:00:00,629.02,0,35
ord_000082,user_00029,evt_00001020,2025-10-26 00:00:00,1561.94,1,45
ord_000083,user_00029,evt_00001038,2026-01-14 00:00:00,496.63,0,90
ord_000084,user_00030,evt_00001058,2025-10-14 00:00:00,393.27,1,90
