user_id,age,gender,city_id,income_rub,family_code,txn_count,avg_ticket,total_spend,std_ticket,weekend_share,evening_share,delivery_share,merchant_0_share,merchant_1_share,merchant_2_share,merchant_3_share,days_active,hour_mode,first_day,last_day,active_period_days,txn_per_week,segment,will_return
1,34,1,0,85000,2,12,2366.7083333333335,28400.5,857.0377221551976,1.0,0.3333333333333333,0.6666666666666666,0.08333333333333333,0.25,0.5833333333333334,0.08333333333333333,12,9,5,82,77,1.0,0,1
2,28,0,0,120000,1,14,2481.4285714285716,34740.0,1359.7220142528972,0.0,0.6428571428571429,0.6428571428571429,0.14285714285714285,0.35714285714285715,0.5,0.0,14,18,3,92,89,1.0208333333333335,2,1
3,45,1,1,65000,2,10,646.0,6460.0,189.3380281108074,0.0,0.3,0.1,0.9,0.1,0.0,0.0,10,7,2,65,63,1.0,1,0
4,31,0,4,45000,0,7,681.4285714285714,4770.0,163.8524307040303,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.0,0.0,7,10,1,41,40,1.0425531914893618,1,0
5,52,1,0,180000,2,12,2816.6666666666665,33800.0,1127.2116307978997,0.0,0.5,0.75,0.0,0.4166666666666667,0.5833333333333334,0.0,12,20,4,81,77,1.0,0,1
6,26,0,0,35000,1,9,915.5555555555555,8240.0,507.20092446463246,0.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,9,9,0,56,56,1.0,1,0
7,39,1,0,95000,2,12,2159.1666666666665,25910.0,882.3054339557696,1.0,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.0,12,19,6,83,77,1.0,0,1
8,43,0,3,55000,0,8,717.5,5740.0,240.10414407085938,0.0,0.375,0.25,0.75,0.25,0.0,0.0,8,8,2,51,49,1.0,1,0
9,29,1,0,200000,2,11,2828.181818181818,31110.0,1082.2737008891806,0.0,0.5454545454545454,0.7272727272727273,0.0,0.45454545454545453,0.5454545454545454,0.0,11,20,1,71,70,1.0,2,1
10,36,0,2,75000,1,8,951.25,7610.0,306.6611671349528,0.0,0.5,0.5,0.5,0.5,0.0,0.0,8,10,3,52,49,1.0,1,0
11,48,1,1,40000,3,7,728.5714285714286,5100.0,271.87181853639356,0.0,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.0,0.0,7,9,4,46,42,1.0,4,0
12,33,0,0,110000,0,10,2329.0,23290.0,859.6310578123358,0.0,0.6,0.7,0.0,0.5,0.5,0.0,10,19,0,63,63,1.0,3,1
13,41,1,0,280000,2,14,4090.714285714286,57270.0,1411.2267673945917,1.0,0.5714285714285714,0.7857142857142857,0.0,0.35714285714285715,0.6428571428571429,0.0,14,20,5,96,91,1.0,2,1
14,27,0,4,38000,1,8,778.75,6230.0,279.1025157280283,0.0,0.5,0.375,0.625,0.375,0.0,0.0,8,10,2,51,49,1.0,1,0
15,55,1,0,150000,2,11,2290.0,25190.0,794.7955712005446,0.0,0.5454545454545454,0.6363636363636364,0.0,0.6363636363636364,0.36363636363636365,0.0,11,11,7,77,70,1.0,0,1
16,30,0,0,50000,0,8,883.75,7070.0,325.8368347150808,0.0,0.5,0.5,0.625,0.375,0.0,0.0,8,11,1,50,49,1.0,1,0
17,38,1,3,70000,1,8,1448.75,11590.0,556.505358721472,0.0,0.5,0.5,0.25,0.625,0.125,0.0,8,11,3,52,49,1.0,3,1
18,44,0,1,60000,2,8,957.5,7660.0,297.50150059645557,0.0,0.625,0.375,0.625,0.375,0.0,0.0,8,12,4,53,49,1.0,4,0
19,25,1,0,95000,0,10,2329.0,23290.0,859.6310578123358,0.0,0.6,0.7,0.0,0.5,0.5,0.0,10,19,0,63,63,1.0,2,1
20,49,0,2,45000,3,8,767.5,6140.0,250.81296389370078,0.0,0.5,0.25,0.75,0.25,0.0,0.0,8,11,2,51,49,1.0,4,0
21,35,1,0,130000,2,10,2423.0,24230.0,869.44490592817,0.0,0.5,0.7,0.0,0.5,0.5,0.0,10,20,8,71,63,1.0,0,1
22,32,0,0,250000,1,12,3754.1666666666665,45050.0,1281.0610540651153,1.0,0.6666666666666666,0.75,0.0,0.3333333333333333,0.6666666666666666,0.0,12,19,5,82,77,1.0,2,1
23,58,1,4,35000,3,8,673.75,5390.0,142.32131654413945,0.0,0.5,0.25,1.0,0.0,0.0,0.0,8,11,1,50,49,1.0,4,0
24,29,0,1,80000,0,8,1196.25,9570.0,468.33862901598394,0.0,0.5,0.5,0.25,0.75,0.0,0.0,8,12,4,53,49,1.0,3,1
25,42,1,0,170000,2,12,2358.3333333333335,28300.0,792.8181418589045,0.0,0.5833333333333334,0.75,0.0,0.5,0.5,0.0,12,20,3,80,77,1.0,0,1
26,37,0,0,55000,1,7,875.7142857142857,6130.0,352.08224147477927,0.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.0,0.0,7,11,0,42,42,1.0,1,0
27,51,1,2,90000,2,8,1791.25,14330.0,606.875781594318,1.0,0.5,0.5,0.125,0.625,0.25,0.0,8,12,6,55,49,1.0,4,0
28,24,0,3,30000,0,7,788.5714285714286,5520.0,269.53222265179915,0.0,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.0,0.0,7,11,2,44,42,1.0,1,0
29,46,1,0,210000,2,11,2863.6363636363635,31500.0,1164.9229393163544,0.0,0.5454545454545454,0.7272727272727273,0.0,0.45454545454545453,0.5454545454545454,0.0,11,21,1,71,70,1.0,2,1
30,33,0,0,48000,1,7,950.0,6650.0,317.12247896777467,1.0,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.0,7,11,5,47,42,1.0,1,0
31,40,1,4,85000,0,8,1026.25,8210.0,385.63259716989694,0.0,0.5,0.5,0.5,0.5,0.0,0.0,8,12,4,53,49,1.0,3,1
32,56,0,1,150000,2,10,2308.0,23080.0,859.3641059915562,0.0,0.6,0.8,0.0,0.5,0.5,0.0,10,19,0,63,63,1.0,0,1
33,28,1,0,105000,2,8,1577.5,12620.0,589.788097540125,0.0,0.5,0.5,0.25,0.625,0.125,0.0,8,12,2,51,49,1.0,3,1
34,47,0,0,40000,3,8,751.25,6010.0,246.07998119078508,0.0,0.625,0.375,0.875,0.125,0.0,0.0,8,11,1,50,49,1.0,4,0
35,38,1,2,125000,1,8,1791.25,14330.0,606.875781594318,1.0,0.5,0.5,0.125,0.625,0.25,0.0,8,12,6,55,49,1.0,1,0
36,31,0,0,70000,1,8,1196.25,9570.0,468.33862901598394,0.0,0.5,0.5,0.25,0.75,0.0,0.0,8,11,3,52,49,1.0,1,0
37,53,1,1,60000,2,8,957.5,7660.0,297.50150059645557,1.0,0.625,0.375,0.625,0.375,0.0,0.0,8,12,5,54,49,1.0,4,0
38,26,0,4,32000,0,10,2319.0,23190.0,858.6481623264948,0.0,0.6,0.7,0.0,0.5,0.5,0.0,10,19,1,64,63,1.0,2,1
39,44,1,0,195000,2,10,3290.0,32900.0,1342.8411008835787,0.0,0.5,0.7,0.0,0.5,0.5,0.0,10,12,2,65,63,1.0,2,1
40,35,0,0,82000,1,7,950.0,6650.0,317.12247896777467,0.0,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.0,7,11,4,46,42,1.0,1,0
41,50,1,3,50000,3,8,751.25,6010.0,246.07998119078508,0.0,0.625,0.375,0.875,0.125,0.0,0.0,8,11,0,49,49,1.0,4,0
42,29,0,2,72000,0,8,1196.25,9570.0,468.33862901598394,0.0,0.5,0.5,0.25,0.75,0.0,0.0,8,12,1,50,49,1.0,3,1
43,41,1,0,160000,2,12,2591.6666666666665,31100.0,894.89291724392,0.0,0.5833333333333334,0.75,0.0,0.5,0.5,0.0,12,13,2,79,77,1.0,0,1
44,34,0,1,43000,1,7,875.7142857142857,6130.0,352.08224147477927,1.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.0,0.0,7,11,5,47,42,1.0,1,0
45,57,1,0,110000,2,8,1791.25,14330.0,606.875781594318,0.0,0.5,0.5,0.125,0.625,0.25,0.0,8,12,3,52,49,1.0,4,0
46,23,0,0,37000,0,7,788.5714285714286,5520.0,269.53222265179915,0.0,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.0,0.0,7,11,0,42,42,1.0,1,0
47,39,1,4,88000,2,8,1698.75,13590.0,497.29087492705344,0.0,0.625,0.75,0.125,0.75,0.125,0.0,8,13,4,53,49,1.0,3,1
48,54,0,0,140000,1,10,2280.0,22800.0,884.4960900610773,0.0,0.5,0.7,0.0,0.5,0.5,0.0,10,12,1,64,63,1.0,0,1
49,32,1,3,62000,3,7,950.0,6650.0,317.12247896777467,1.0,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.0,0.0,7,11,6,48,42,1.0,1,0
50,37,0,1,240000,2,14,3832.1428571428573,53650.0,1383.0856170808167,0.0,0.5714285714285714,0.7857142857142857,0.0,0.35714285714285715,0.6428571428571429,0.0,14,20,2,93,91,1.0,2,1
