user_id,age,gender,city,income_rub,family_status,created_at
user_00000,38,F,Новосибирск,25285,семья_с_детьми,2026-04-27 23:47:00
user_00001,32,F,Москва,20000,пара,2026-04-27 23:47:00
user_00002,40,M,Новосибирск,61892,пара,2026-04-27 23:47:00
user_00003,49,F,Москва,218775,один,2026-04-27 23:47:00
user_00004,31,F,Москва,48842,с_родителями,2026-04-27 23:47:00
user_00005,31,M,Казань,81072,пара,2026-04-27 23:47:00
user_00006,49,M,Москва,51487,один,2026-04-27 23:47:00
user_00007,41,M,Новосибирск,46196,семья_с_детьми,2026-04-27 23:47:00
user_00008,29,M,Новосибирск,85088,один,2026-04-27 23:47:00
user_00009,39,M,СПб,41185,пара,2026-04-27 23:47:00
user_00010,29,M,Москва,57551,пара,2026-04-27 23:47:00
user_00011,29,M,Москва,59457,семья_с_детьми,2026-04-27 23:47:00
user_00012,36,M,Казань,32831,пара,2026-04-27 23:47:00
user_00013,18,F,Екатеринбург,88896,семья_с_детьми,2026-04-27 23:47:00
user_00014,18,M,Казань,44135,с_родителями,2026-04-27 23:47:00
user_00015,28,F,Москва,31149,один,2026-04-27 23:47:00
user_00016,23,M,Казань,67636,один,2026-04-27 23:47:00
user_00017,37,F,СПб,28593,пара,2026-04-27 23:47:00
user_00018,24,M,Новосибирск,49856,пара,2026-04-27 23:47:00
user_00019,19,M,Москва,48753,пара,2026-04-27 23:47:00
user_00020,48,F,Новосибирск,94045,с_родителями,2026-04-27 23:47:00
user_00021,31,F,СПб,65174,семья_с_детьми,2026-04-27 23:47:00
user_00022,34,F,Екатеринбург,48290,семья_с_детьми,2026-04-27 23:47:00
user_00023,19,M,Москва,80070,пара,2026-04-27 23:47:00
user_00024,28,M,Казань,112884,семья_с_детьми,2026-04-27 23:47:00
user_00025,35,F,Екатеринбург,68506,с_родителями,2026-04-27 23:47:00
user_00026,22,F,Москва,49326,семья_с_детьми,2026-04-27 23:47:00
user_00027,37,F,Екатеринбург,22312,один,2026-04-27 23:47:00
user_00028,27,F,Казань,25872,семья_с_детьми,2026-04-27 23:47:00
user_00029,31,M,Москва,40817,один,2026-04-27 23:47:00
user_00030,27,F,Москва,34006,один,2026-04-27 23:47:00
