user_id,segment,family_score,budget_score,gourmet_score,busy_score,traditional_score,churn_risk,predicted_ltv,updated_at
user_00000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00002,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00003,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00005,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00006,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00007,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00008,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00009,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00010,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00011,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00012,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00014,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00015,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00016,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00017,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00018,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00020,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00021,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00022,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00025,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00026,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00027,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00028,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00029,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00030,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00031,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00032,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00033,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00034,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00035,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00036,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00037,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00038,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00039,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00040,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00041,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00042,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
user_00043,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
